price,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,neworold,Furnished_status,Lift,type_of_building,Price_sqft,Address_Encoded
4100000.0,900.0,28.524024963378903,77.21276092529297,3.0,2.0,1.0,New Property,Furnished,1.0,Flat,4555.555555555556,8313562.197092084
9300000.0,1490.0,28.37423557,76.95241631,3.0,3.0,3.0,Resale,no data,1.0,Flat,6241.6107382550335,8277473.344103392
7500000.0,1250.0,28.686542510986328,77.29959869384766,3.0,2.0,2.0,Resale,Semi-Furnished,1.0,Flat,6000.0,8277473.344103392
4500000.0,1130.0,28.4962932685044,77.4085199482841,3.0,2.0,2.0,New Property,no data,1.0,Flat,3982.300884955752,8330828.756058158
9400000.0,1625.0,28.42491581294641,77.486721,3.0,2.0,3.0,New Property,no data,1.0,Individual House,5784.615384615385,8393002.745921498
3400000.0,900.0,28.6485885,77.3533389,2.0,2.0,1.0,Resale,Unfurnished,1.0,Flat,3777.777777777778,8313562.197092084
7000000.0,1008.0,28.686573028564453,77.29962921142578,3.0,2.0,1.0,Resale,Semi-Furnished,1.0,Flat,6944.444444444444,8277473.344103392
9700000.0,1250.0,28.4245106404379,77.1013245863658,3.0,2.0,2.0,Resale,no data,0.0,Individual House,7760.0,8313562.197092084
4500000.0,800.0,28.539813995361328,77.21868133544922,2.0,2.0,2.0,Resale,Semi-Furnished,1.0,Flat,5625.0,8313562.197092084
2650000.0,608.0,28.634742736816406,77.04910278320312,2.0,2.0,1.0,Resale,Unfurnished,1.0,Flat,4358.552631578948,8313562.197092084
7000000.0,1256.0,28.5898617123258,77.4034337616235,2.0,2.0,1.0,Resale,no data,1.0,Flat,5573.248407643312,8073766.811817563
6040000.0,1341.0,28.682107,77.4465784,3.0,2.0,2.0,Resale,no data,1.0,Flat,4504.101416853095,8330828.756058158
3000000.0,630.0,28.68641662597656,77.2995834350586,2.0,2.0,1.0,Resale,Semi-Furnished,1.0,Flat,4761.9047619047615,8899918.501886083
11000000.0,1510.0,28.3930662,77.022442,3.0,2.0,4.0,Resale,no data,1.0,Flat,7284.76821192053,8319436.795243499
4500000.0,1000.0,28.621288299560547,77.05307006835938,3.0,2.0,1.0,Resale,Semi-Furnished,1.0,Flat,4500.0,8393002.745921498
5000000.0,1205.0,28.453581,77.556221,2.0,2.0,2.0,Resale,no data,1.0,Flat,4149.377593360996,8313562.197092084
4000000.0,1010.0,28.619028,77.425972,2.0,2.0,3.0,Resale,no data,1.0,Flat,3960.3960396039606,8288299.143918592
6200000.0,950.0,28.634750366210938,77.04913330078125,3.0,2.0,1.0,Resale,Semi-Furnished,1.0,Flat,6526.315789473684,8393002.745921498
9800000.0,1765.0,28.4460523,76.9772858,3.0,3.0,2.0,Resale,Unfurnished,1.0,Flat,5552.407932011332,8403197.09496044
6600000.0,1455.0,28.5684777,77.3775,3.0,3.0,4.0,Resale,Semi-Furnished,1.0,Flat,4536.082474226804,7361522.574324567
5500000.0,1000.0,28.615032,77.0290715,3.0,2.0,2.0,Resale,Semi-Furnished,1.0,Flat,5500.0,8277473.344103392
14000000.0,1750.0,28.4215541,77.0780609,3.0,4.0,2.0,Resale,Semi-Furnished,1.0,Flat,8000.0,8313562.197092084
13200000.0,1935.0,28.642318725585938,77.42117309570312,3.0,3.0,2.0,Resale,Furnished,1.0,Flat,6821.705426356589,8393002.745921498
2800000.0,800.0,28.63578224182129,77.43241882324219,2.0,2.0,1.0,Resale,Semi-Furnished,1.0,Individual House,3500.0,8313562.197092084
14000000.0,1800.0,28.47489356994629,77.00980377197266,3.0,3.0,1.0,Resale,Unfurnished,1.0,Flat,7777.777777777777,8393002.745921498
11500000.0,1478.0,28.386791,77.049466,2.0,2.0,3.0,Resale,no data,1.0,Flat,7780.784844384303,8701001.383127045
3300000.0,900.0,28.600419998168945,77.44546508789062,2.0,2.0,1.0,New Property,Unfurnished,1.0,Flat,3666.6666666666665,8313562.197092084
6000000.0,1234.0,28.438316345214844,77.51483154296875,2.0,2.0,2.0,Resale,Furnished,1.0,Flat,4862.23662884927,8277473.344103392
5600000.0,1507.0,28.517742,77.529334,2.0,3.0,2.0,Resale,no data,1.0,Individual House,3715.992037159921,7813218.50924551
5800000.0,1365.0,28.589075088500977,77.32030487060547,3.0,3.0,2.0,Resale,Unfurnished,1.0,Flat,4249.084249084249,8330828.756058158
2100000.0,615.0,28.6738471,77.4829531,2.0,2.0,1.0,Resale,Unfurnished,1.0,Flat,3414.634146341464,8330828.756058158
5200000.0,1140.0,28.5575028022171,77.386464965331,2.0,2.0,3.0,Resale,no data,1.0,Individual House,4561.403508771929,8288299.143918592
8000000.0,1325.0,28.39343,76.99731,2.0,2.0,2.0,Resale,no data,1.0,Individual House,6037.735849056604,8302832.371888384
7650000.0,997.0,28.425657,77.04300339,2.0,2.0,2.0,Resale,no data,1.0,Flat,7673.019057171515,8288299.143918592
5500000.0,1100.0,28.49742317199707,77.02734375,3.0,2.0,1.0,Resale,Semi-Furnished,1.0,Flat,5000.0,8393002.745921498
5400000.0,1405.0,28.4570313,77.514304,3.0,2.0,3.0,Resale,no data,1.0,Individual House,3843.4163701067614,8277473.344103392
8500000.0,1775.0,28.588371,77.400313,3.0,3.0,3.0,Resale,no data,1.0,Flat,4788.732394366197,8253982.993709123
6000000.0,1000.0,28.686418533325195,77.299560546875,3.0,3.0,2.0,Resale,Semi-Furnished,1.0,Flat,6000.0,8277473.344103392
2450000.0,630.0,28.591666,77.484749,2.0,2.0,1.0,Resale,no data,1.0,Flat,3888.8888888888887,8330828.756058158
7300000.0,1742.0,28.641756,77.3788593620366,3.0,2.0,1.0,Resale,no data,1.0,Flat,4190.585533869116,8460180.200694572
14500000.0,1650.0,28.5621338401025,77.0567893768121,3.0,2.0,3.0,Resale,no data,1.0,Individual House,8787.878787878788,9340690.778220238
4800000.0,950.0,28.5507543331581,77.3616874515359,2.0,2.0,3.0,Resale,no data,1.0,Flat,5052.631578947368,7857719.06479256
4200000.0,800.0,28.641779,77.3502969,2.0,2.0,2.0,Resale,Semi-Furnished,1.0,Flat,5250.0,7692065.479416991
12800000.0,1472.0,28.39522652,77.05988662,2.0,3.0,3.0,New Property,no data,1.0,Flat,8695.652173913044,8393002.745921498
12000000.0,1850.0,28.548787,77.346032,3.0,4.0,2.0,Resale,no data,1.0,Flat,6486.486486486487,8277473.344103392
7500000.0,900.0,28.4584723542826,77.0525565353357,2.0,2.0,1.0,Resale,no data,1.0,Individual House,8333.333333333334,8330828.756058158
3850000.0,720.0,28.52319526672364,77.21430969238281,2.0,2.0,1.0,Resale,Unfurnished,1.0,Individual House,5347.222222222223,8288299.143918592
8000000.0,1550.0,28.6354490945654,77.3238143396458,3.0,2.0,2.0,Resale,no data,1.0,Flat,5161.290322580645,8288299.143918592
4350000.0,1300.0,28.4626703284033,77.5583025174588,3.0,3.0,2.0,Resale,no data,1.0,Flat,3346.153846153846,6991217.640722111
9000000.0,1536.0,28.514908,76.974388,2.0,2.0,4.0,Resale,no data,1.0,Individual House,5859.375,8125532.49764184
5000000.0,1285.0,28.605958,77.444512,2.0,2.0,4.0,Resale,Unfurnished,1.0,Flat,3891.050583657588,8330828.756058158
5800000.0,1350.0,28.34699821472168,77.32400512695312,3.0,2.0,2.0,Resale,Semi-Furnished,1.0,Individual House,4296.2962962962965,8313562.197092084
4200000.0,1335.0,28.5661101,77.4406099,2.0,2.0,2.0,Resale,Semi-Furnished,1.0,Flat,3146.067415730337,6986714.241945244
8900000.0,1000.0,28.454517,77.081868,2.0,2.0,2.0,Resale,Semi-Furnished,0.0,Flat,8900.0,8330828.756058158
9500000.0,1811.0,28.45251307,76.97627035,3.0,3.0,4.0,New Property,no data,1.0,Individual House,5245.720596355604,8288299.143918592
4600000.0,1175.0,28.617567,77.426765,3.0,2.0,3.0,Resale,no data,1.0,Flat,3914.893617021277,8393002.745921498
2900000.0,554.0,28.51348116,76.971479,2.0,2.0,2.0,Resale,no data,1.0,Flat,5234.657039711191,8277473.344103392
13500000.0,1500.0,28.621054,77.0905294,4.0,3.0,2.0,Resale,no data,1.0,Flat,9000.0,8288299.143918592
4000000.0,1250.0,28.4189198883071,77.3555759540603,2.0,2.0,2.0,Resale,Unfurnished,1.0,Flat,3200.0,7352094.89908204
4000000.0,850.0,28.645341,77.3549293203382,2.0,2.0,1.0,Resale,no data,0.0,Flat,4705.882352941177,8313562.197092084
8000000.0,1000.0,28.6005236146549,77.3116078326732,2.0,2.0,2.0,Resale,no data,1.0,Flat,8000.0,8956397.116455942
9000000.0,1325.0,28.5685416949121,77.3792999293712,3.0,2.0,3.0,Resale,no data,1.0,Flat,6792.452830188679,7361522.574324567
3200000.0,840.0,28.683082,77.50921,2.0,2.0,2.0,Resale,no data,1.0,Flat,3809.5238095238096,8288299.143918592
4100000.0,1065.0,28.4042306,77.3559561,3.0,2.0,3.0,New Property,no data,1.0,Flat,3849.7652582159626,8393002.745921498
7000000.0,1585.0,28.605958,77.444512,3.0,3.0,3.0,Resale,Semi-Furnished,1.0,Flat,4416.403785488959,8288299.143918592
7500000.0,1515.0,28.5898617123258,77.4034337616235,3.0,3.0,3.0,Resale,no data,1.0,Flat,4950.495049504951,8304545.831747157
7100000.0,900.0,28.63475799560547,77.0490951538086,2.0,2.0,2.0,Resale,Semi-Furnished,1.0,Flat,7888.888888888889,8035660.981135751
7000000.0,1135.0,28.587310508382,77.3959017798717,2.0,2.0,1.0,Resale,no data,1.0,Flat,6167.400881057269,8313562.197092084
8000000.0,1500.0,28.614131927490234,77.36986541748047,3.0,3.0,1.0,Resale,Semi-Furnished,1.0,Flat,5333.333333333333,8330828.756058158
